w_eda,w_temp,downsampled_labels,ID,Time
1.138257,35.41,0.0,S2,0.0
1.125444,35.41,0.0,S2,0.25
1.011405,35.41,0.0,S2,0.5
1.033188,35.41,0.0,S2,0.75
0.935807,35.41,0.0,S2,1.0
0.935708,35.41,0.0,S2,1.25
0.962616,35.41,0.0,S2,1.5
0.934426,35.41,0.0,S2,1.75
0.967741,35.41,0.0,S2,2.0
1.094593,35.41,0.0,S2,2.25
1.175317,35.41,0.0,S2,2.5
1.227851,35.41,0.0,S2,2.75
1.26501,35.41,0.0,S2,3.0
1.285511,35.41,0.0,S2,3.25
1.298324,35.41,0.0,S2,3.5
1.304731,35.41,0.0,S2,3.75
1.291918,35.43,0.0,S2,4.0
1.268854,35.43,0.0,S2,4.25
1.253478,35.43,0.0,S2,4.5
1.231695,35.43,0.0,S2,4.75
1.208631,35.41,0.0,S2,5.0
1.190693,35.41,0.0,S2,5.25
1.176598,35.41,0.0,S2,5.5
1.16891,35.41,0.0,S2,5.75
1.154815,35.43,0.0,S2,6.0
1.143283,35.43,0.0,S2,6.25
1.134314,35.43,0.0,S2,6.5
1.125345,35.43,0.0,S2,6.75
1.121501,35.41,0.0,S2,7.0
1.121501,35.41,0.0,S2,7.25
1.120219,35.41,0.0,S2,7.5
1.117657,35.41,0.0,S2,7.75
1.116375,35.45,0.0,S2,8.0
1.109969,35.45,0.0,S2,8.25
1.104843,35.45,0.0,S2,8.5
1.099718,35.45,0.0,S2,8.75
1.094593,35.41,0.0,S2,9.0
1.09203,35.41,0.0,S2,9.25
1.094593,35.41,0.0,S2,9.5
1.089467,35.41,0.0,S2,9.75
1.086905,35.43,0.0,S2,10.0
1.083061,35.43,0.0,S2,10.25
1.077935,35.43,0.0,S2,10.5
1.074091,35.43,0.0,S2,10.75
1.067685,35.45,0.0,S2,11.0
1.063841,35.45,0.0,S2,11.25
1.067685,35.45,0.0,S2,11.5
1.040777,35.45,0.0,S2,11.75
1.017713,35.43,0.0,S2,12.0
0.992086,35.43,0.0,S2,12.25
0.992086,35.43,0.0,S2,12.5
1.006181,35.43,0.0,S2,12.75
1.035651,35.41,0.0,S2,13.0
1.056153,35.41,0.0,S2,13.25
1.084342,35.41,0.0,S2,13.5
1.109969,35.41,0.0,S2,13.75
1.139439,35.41,0.0,S2,14.0
1.167629,35.41,0.0,S2,14.25
1.195818,35.41,0.0,S2,14.5
